"","V1","V2","V3","V4"
"ids589",0,0,0,4
"ids590",2,1,0,0
"ids591",1,0,2,0
"ids592",2,0,1,1
"ids593",0,0,0,1
"ids594",0,0,0,0
"ids595",2,1,0,1
"ids596",1,18,0,0
"ids597",1,2,1,0
"ids598",1,0,1,1
"ids599",2,0,2,0
"ids600",1,0,1,0
"ids601",1,0,0,1
"ids602",0,0,0,0
"ids603",1,0,0,0
"ids604",1,1,1,1
"ids605",1,0,2,0
"ids606",1,0,0,2
"ids607",0,0,0,1
"ids608",0,2,0,0
"ids609",0,1,0,1
"ids610",3,3,1,0
"ids611",1,0,0,1
"ids612",0,0,0,1
"ids613",0,0,0,2
"ids614",0,0,4,2
"ids615",0,2,0,3
"ids616",0,2,0,1
"ids617",4,0,0,2
"ids618",1,1,2,1
"ids619",2,1,1,1
"ids620",0,0,2,1
"ids621",1,0,2,1
"ids622",2,0,0,0
"ids623",1,2,0,1
"ids624",1,1,1,1
"ids625",31,1,1,0
"ids626",0,0,0,0
"ids627",2,0,1,0
"ids628",0,2,1,0
"ids629",0,0,0,2
"ids630",0,8,0,1
"ids631",5,0,0,2
"ids632",0,3,1,1
"ids633",1,1,0,0
"ids634",2,0,1,0
"ids635",1,0,0,0
"ids636",0,1,0,1
"ids637",0,0,1,1
"ids638",0,4,1,3
"ids639",0,0,2,1
"ids640",2,1,0,0
"ids641",0,2,0,0
"ids642",0,1,1,0
"ids643",0,2,0,0
"ids644",1,0,0,2
"ids645",0,1,0,15
"ids646",2,2,0,1
"ids647",0,0,0,0
"ids648",0,0,0,0
"ids649",2,0,0,2
"ids650",0,2,3,6
"ids651",0,4,2,0
"ids652",0,2,0,0
"ids653",0,1,3,2
"ids654",1,3,0,1
"ids655",2,0,0,0
"ids656",0,2,1,1
"ids657",9,0,3,6
"ids658",3,2,0,0
"ids659",0,1,1,1
"ids660",3,5,0,0
"ids661",0,2,0,2
"ids662",2,2,2,0
"ids663",0,0,0,0
"ids664",0,1,2,1
"ids665",0,1,0,0
"ids666",1,2,1,1
"ids667",1,1,0,1
"ids668",2,1,0,1
"ids669",0,0,0,0
"ids670",0,0,1,1
"ids671",0,1,1,0
"ids672",0,0,0,0
"ids673",0,1,0,0
"ids674",1,1,0,0
"ids675",3,3,1,0
"ids676",0,1,0,0
"ids677",2,0,1,2
"ids678",0,2,1,1
"ids679",1,0,0,1
"ids680",1,0,0,2
"ids681",1,5,3,10
"ids682",1,4,1,0
"ids683",0,1,3,1
"ids684",2,1,5,6
"ids685",4,1,1,1
"ids686",0,5,1,0
"ids687",1,8,2,0
"ids688",4,0,0,1
"ids689",1,0,0,0
"ids690",2,1,1,0
"ids691",2,1,2,0
"ids692",5,2,6,0
"ids693",0,2,0,0
"ids694",0,1,1,2
"ids695",0,1,0,1
"ids696",2,0,0,1
"ids697",0,0,2,0
"ids698",0,1,1,1
"ids699",0,1,0,1
"ids700",0,0,1,0
"ids701",1,3,0,1
"ids702",0,5,0,1
"ids703",1,6,0,0
"ids704",1,3,0,1
"ids705",2,0,0,0
"ids706",0,0,1,0
"ids707",0,0,4,4
"ids708",0,0,1,0
"ids709",5,1,0,2
"ids710",1,3,2,1
"ids711",0,1,0,0
"ids712",4,2,0,0
"ids713",1,0,0,6
"ids714",3,3,0,2
"ids715",0,2,0,0
"ids716",0,1,2,3
"ids717",0,2,1,0
"ids718",1,0,0,1
"ids719",0,0,0,0
"ids720",1,1,1,2
"ids721",1,3,2,1
"ids722",0,3,0,1
"ids723",0,3,0,0
"ids724",0,1,0,1
"ids725",1,0,0,1
"ids726",0,0,0,0
"ids727",0,1,0,0
"ids728",2,2,0,1
"ids729",1,0,2,1
"ids730",2,2,0,1
"ids731",0,3,5,6
"ids732",29,34,27,17
"ids733",1,1,5,0
"ids734",4,2,1,2
"ids735",0,0,0,2
"ids736",1,2,2,0
"ids737",0,6,0,0
"ids738",4,1,0,0
"ids739",1,0,2,0
"ids740",0,2,1,0
"ids741",5,7,5,4
"ids742",1,0,0,1
"ids743",0,6,0,1
"ids744",1,2,1,1
"ids745",4,2,1,0
"ids746",1,1,1,2
"ids747",1,3,1,0
"ids748",0,0,1,5
"ids749",0,3,0,1
"ids750",2,1,0,0
"ids751",0,0,0,0
"ids752",1,0,1,1
"ids753",2,2,0,0
"ids754",0,1,0,1
"ids755",0,1,1,2
"ids756",0,1,0,0
"ids757",1,0,1,0
"ids758",1,0,0,0
"ids759",2,9,1,1
"ids760",0,1,0,1
"ids761",0,0,2,2
"ids762",0,0,0,0
"ids763",1,1,0,1
"ids764",1,0,0,1
"ids765",0,1,1,1
"ids766",0,0,1,2
"ids767",0,0,0,0
"ids768",0,0,1,1
"ids769",1,4,0,2
"ids770",1,0,1,1
"ids771",1,0,2,1
"ids772",0,0,0,6
"ids773",1,1,0,2
"ids774",0,2,0,1
"ids775",1,2,0,1
"ids776",0,0,2,2
"ids777",1,3,2,1
"ids778",0,0,1,0
"ids779",1,2,0,0
"ids780",2,0,2,1
"ids781",0,1,0,0
"ids782",0,0,2,1
"ids783",0,2,1,1
"ids784",2,2,1,0
"ids785",1,3,2,0
"ids786",0,1,0,0
"ids787",1,4,0,0
"ids788",0,2,2,0
"ids789",1,1,3,0
"ids790",2,0,1,1
"ids791",1,3,0,0
"ids792",0,0,0,1
"ids793",1,0,1,0
"ids794",1,3,1,0
"ids795",0,0,1,1
"ids796",2,0,0,0
"ids797",1,1,0,2
"ids798",0,1,1,0
"ids799",1,0,0,0
"ids800",1,1,0,1
"ids801",0,2,0,1
"ids802",0,2,0,0
"ids803",0,0,0,1
"ids804",1,0,0,0
"ids805",1,0,1,0
"ids806",0,0,0,1
"ids807",0,0,0,0
"ids808",1,1,1,1
"ids809",2,2,5,0
"ids810",0,2,0,0
"ids811",1,9,0,0
"ids812",3,9,0,0
"ids813",0,0,3,0
"ids814",0,2,1,1
"ids815",0,0,3,7
"ids816",1,1,1,0
"ids817",2,1,0,2
"ids818",1,0,0,0
"ids819",0,2,1,0
"ids820",0,1,0,0
"ids821",0,0,2,1
"ids822",1,0,1,1
"ids823",1,0,0,1
"ids824",0,0,0,1
"ids825",1,0,0,0
"ids826",0,0,0,0
"ids827",1,11,1,5
"ids828",0,0,2,1
"ids829",0,0,1,0
"ids830",0,0,1,0
"ids831",2,1,2,0
"ids832",1,1,1,1
"ids833",0,1,2,3
"ids834",0,0,0,0
"ids835",0,0,0,1
"ids836",0,0,0,1
"ids837",1,3,0,0
"ids838",0,1,0,0
"ids839",1,0,2,0
"ids840",2,0,1,0
"ids841",0,2,1,1
"ids842",0,0,0,0
"ids843",1,4,0,3
"ids844",0,1,0,0
"ids845",1,1,2,1
"ids846",1,0,0,0
"ids847",0,1,1,0
"ids848",0,2,1,0
"ids849",1,1,2,2
"ids850",0,0,1,0
"ids851",0,0,1,0
"ids852",2,0,0,0
"ids853",0,1,0,1
"ids854",0,2,1,0
"ids855",1,2,1,1
"ids856",0,1,1,1
"ids857",0,0,18,0
"ids858",0,4,1,1
"ids859",0,2,0,4
"ids860",4,1,0,1
"ids861",0,1,1,3
"ids862",4,1,3,2
"ids863",3,0,0,0
"ids864",7,0,0,1
"ids865",1,0,0,1
"ids866",0,1,1,0
"ids867",1,2,1,2
"ids868",0,1,0,1
"ids869",3,0,0,0
"ids870",4,0,2,0
"ids871",1,3,0,0
"ids872",0,2,0,2
"ids873",0,2,0,0
"ids874",1,0,0,0
"ids875",1,0,1,1
"ids876",2,1,0,3
"ids877",1,1,1,0
"ids878",1,0,0,1
"ids879",2,0,0,0
"ids880",2,1,2,0
"ids881",0,3,0,1
"ids882",2,1,0,0
"ids883",2,5,3,0
"ids884",0,2,0,0
"ids885",1,2,2,0
"ids886",0,1,0,1
"ids887",2,0,5,0
"ids888",0,0,1,1
"ids889",1,0,1,10
"ids890",3,2,4,0
"ids891",1,2,1,0
"ids892",1,0,0,1
"ids893",0,0,0,0
"ids894",1,0,2,2
"ids895",0,0,0,1
"ids896",2,0,0,0
"ids897",0,1,0,1
"ids898",0,2,0,0
"ids899",1,1,0,1
"ids900",3,1,1,0
"ids901",19,13,4,9
"ids902",0,0,2,1
"ids903",0,8,2,10
"ids904",1,1,2,1
"ids905",0,3,2,0
"ids906",1,1,0,0
"ids907",0,5,1,0
"ids908",0,1,0,0
"ids909",1,1,2,1
"ids910",0,1,0,0
"ids911",0,0,0,1
"ids912",1,3,0,1
"ids913",0,3,0,1
"ids914",0,3,1,1
"ids915",2,2,0,0
"ids916",0,0,1,0
"ids917",1,10,3,1
"ids918",0,7,1,0
"ids919",0,2,1,4
"ids920",0,0,1,4
"ids921",0,4,0,1
"ids922",3,1,0,0
"ids923",0,1,1,0
"ids924",2,0,0,0
"ids925",2,1,0,0
"ids926",0,0,0,2
"ids927",0,0,4,1
"ids928",5,1,0,0
"ids929",1,2,1,1
"ids930",2,0,0,1
"ids931",5,0,0,2
"ids932",0,1,2,1
"ids933",0,1,0,0
"ids934",0,1,0,1
"ids935",1,1,16,1
"ids936",0,0,1,3
"ids937",0,3,5,1
"ids938",1,2,7,1
"ids939",0,0,0,6
"ids940",0,6,1,0
"ids941",0,3,0,1
"ids942",1,0,0,2
"ids943",1,0,0,0
"ids944",1,1,2,3
"ids945",0,1,8,0
"ids946",2,0,1,1
"ids947",1,0,1,1
"ids948",1,1,0,0
"ids949",0,0,0,1
"ids950",0,1,0,0
"ids951",1,15,1,0
"ids952",2,1,3,0
"ids953",1,0,1,3
"ids954",3,0,1,2
"ids955",0,1,0,1
"ids956",0,2,0,0
"ids957",0,0,0,1
"ids958",2,0,0,0
"ids959",2,1,0,0
"ids960",0,1,1,0
"ids961",1,0,3,0
"ids962",2,1,0,0
"ids963",0,2,0,1
"ids964",3,0,2,0
"ids965",2,0,0,0
"ids966",1,0,2,0
"ids967",0,4,2,0
"ids968",0,0,0,0
"ids969",0,0,0,2
"ids970",0,6,3,2
"ids971",2,1,0,0
"ids972",1,1,1,0
"ids973",4,8,1,1
"ids974",0,2,2,1
"ids975",0,1,1,2
"ids976",2,0,0,1
"ids977",0,1,0,1
"ids978",2,8,0,1
"ids979",0,1,1,2
"ids980",0,2,0,1
"ids981",0,0,0,1
"ids982",1,4,0,0
"ids983",5,18,2,4
"ids984",3,1,1,0
"ids985",1,1,0,1
"ids986",1,0,2,0
"ids987",0,2,0,0
"ids988",0,0,0,2
"ids989",1,1,0,0
"ids990",0,0,1,0
"ids991",1,2,0,0
"ids992",2,1,1,2
"ids993",3,2,2,0
"ids994",0,0,2,1
"ids995",2,3,0,0
"ids996",0,9,0,0
"ids997",0,1,0,1
"ids998",4,0,2,2
"ids999",1,45,1,1
"ids1000",1,1,2,2
"ids1001",0,5,0,0
"ids1002",0,1,0,2
"ids1003",0,4,1,0
"ids1004",2,1,0,2
"ids1005",0,7,7,3
"ids1006",0,1,1,0
"ids1007",0,3,1,0
"ids1008",2,1,0,3
"ids1009",0,0,0,2
"ids1010",1,1,0,0
"ids1011",0,0,1,0
"ids1012",1,0,0,0
"ids1013",1,3,0,2
"ids1014",0,1,0,1
"ids1015",2,3,2,1
"ids1016",0,0,1,1
"ids1017",0,0,2,2
"ids1018",10,8,3,1
"ids1019",0,0,2,5
"ids1020",2,2,1,0
"ids1021",13,1,0,0
"ids1022",0,3,1,0
"ids1023",1,2,0,1
"ids1024",5,3,2,3
"ids1025",2,2,0,1
"ids1026",0,2,1,0
"ids1027",0,2,0,0
"ids1028",1,4,0,0
"ids1029",0,2,0,2
"ids1030",1,6,17,0
"ids1031",0,0,0,0
"ids1032",0,1,1,1
"ids1033",0,1,0,0
"ids1034",0,2,0,0
"ids1035",1,1,1,1
"ids1036",0,4,0,0
"ids1037",1,2,0,2
"ids1038",1,0,1,0
"ids1039",1,25,0,4
"ids1040",0,1,0,0
"ids1041",2,1,3,0
"ids1042",0,0,2,0
"ids1043",4,1,0,1
"ids1044",0,1,0,0
"ids1045",2,0,2,0
"ids1046",0,4,3,4
"ids1047",1,2,1,1
"ids1048",1,0,0,1
"ids1049",0,1,0,1
"ids1050",1,0,0,1
"ids1051",0,2,2,0
"ids1052",1,0,0,2
"ids1053",0,0,0,1
"ids1054",0,0,1,0
"ids1055",0,0,0,0
"ids1056",0,0,2,1
"ids1057",0,0,0,2
"ids1058",0,0,0,0
"ids1059",2,2,0,0
"ids1060",1,3,1,1
"ids1061",1,0,1,0
"ids1062",3,3,1,0
"ids1063",1,2,0,0
"ids1064",0,1,1,0
"ids1065",0,0,1,0
"ids1066",0,0,2,1
"ids1067",1,1,2,0
"ids1068",1,1,0,0
"ids1069",2,1,0,1
